project_name,input_type,category,status,passed_filter,control_aligned,control_requires_iteration,n_control_findings,n_filter_issues,overall_gini,t0_gini,gini_12m,gini_24m,gini_full,insider_share_t0,t0_distributed_share,fairness_drift,stress_pass_rate,stress_passed,year1_inflation_proxy,n_allocations,insider_pct,distributed_pct,team_pct,investor_pct
ArtSale Marketplace,structured,Marketplace,Success,True,True,False,0,0,0.24,0.7111111111111112,0.496,0.3027027027027027,0.24402515723270435,0.0,1.0,0.29559748427672955,0.8,True,38.88888888888889,5,30.0,70.0,15.0,15.0
PhysicalGoods Exchange,structured,Marketplace,Success,True,True,False,0,0,0.14800000000000013,0.0,0.4341880341880342,0.28864468864468873,0.1475809844341609,0.0,0.0,0.3281447202355911,0.2,False,29.25,5,33.0,67.0,18.0,15.0
ComputeGig Exchange,structured,Marketplace,Success,True,True,False,0,0,0.276,0.7166666666666668,0.5385826771653544,0.3770114942528735,0.2783193277310927,0.0,1.0,0.2638655462184874,0.8,True,32.29166666666667,5,27.0,73.0,15.0,12.0
LandTitle Registry,structured,Marketplace,Success,True,True,False,0,0,0.24,0.5428571428571429,0.4949152542372881,0.34782608695652173,0.24537815126050444,0.0,1.0,0.29411764705882354,0.8,True,5.357142857142857,5,30.0,70.0,15.0,15.0
WholesaleHub B2B,structured,Marketplace,Success,True,True,False,0,0,0.19999999999999996,0.0,0.4695652173913043,0.31000000000000005,0.19999999999999996,0.0,0.0,0.3,0.2,False,28.749999999999996,5,30.0,70.0,20.0,10.0
SkillBarter Exchange,structured,Marketplace,Success,True,True,False,0,0,0.44500000000000006,0.875,0.704295154185022,0.5440273843248347,0.45180976430976405,0.0,1.0,0.26262626262626265,0.6,False,71.96969696969697,8,27.0,73.0,12.0,12.0
EventTicket DAO,structured,Marketplace,Success,True,True,False,0,0,0.22799999999999998,0.637837837837838,0.4140350877192982,0.3391812865497077,0.23030303030303045,0.0,1.0,0.2727272727272727,0.6,False,54.054054054054056,5,28.0,72.0,18.0,10.0
EnergyTrading P2P,structured,Marketplace,Success,True,True,False,0,0,0.21599999999999997,0.49444444444444446,0.46442953020134237,0.3251461988304094,0.21818181818181825,0.0,1.0,0.2727272727272727,0.8,True,3.4722222222222223,5,28.0,72.0,18.0,10.0
MedicalData Exchange,structured,Utility,Success,True,True,False,0,0,0.20799999999999996,0.4833333333333334,0.4536912751677853,0.3157894736842106,0.21010101010101012,0.0,1.0,0.2727272727272727,0.8,True,3.4722222222222223,5,28.0,72.0,18.0,10.0
IdentityVerify Network,structured,Utility,Success,True,True,False,0,0,0.20399999999999996,0.5142857142857142,0.47671232876712333,0.3247058823529412,0.20606060606060606,0.0,1.0,0.29292929292929293,0.8,True,4.285714285714286,5,30.0,70.0,18.0,12.0
EmissionTracker Protocol,structured,Utility,Success,True,True,False,0,0,0.3657142857142859,0.0,0.5246753246753246,0.40784313725490207,0.3678533874117469,0.0,0.0,0.29863301787592006,0.6,False,27.500000000000004,7,30.0,70.0,12.0,15.0
VotingChain Governance,structured,Utility,Success,True,True,False,0,0,0.21599999999999997,0.0,0.5272727272727276,0.2065671641791047,0.21599999999999997,0.0,0.0,0.28,0.8,True,18.333333333333332,5,28.0,72.0,18.0,10.0
QualityAssurance Token,structured,Utility,Success,True,True,False,0,0,0.14000000000000012,0.8,0.4484848484848485,0.19428571428571462,0.14078212290502812,0.0,1.0,0.34636871508379885,0.2,False,106.25,5,35.0,65.0,20.0,15.0
PropertyInsurance Crypto,structured,Utility,Success,True,True,False,0,0,0.14800000000000013,0.4895522388059701,0.44240282685512367,0.27893175074183985,0.14949494949494957,0.0,1.0,0.32323232323232326,0.8,True,5.597014925373134,5,33.0,67.0,18.0,15.0
CustomerLoyalty Web3,structured,Utility,Success,True,True,False,0,0,0.268,0.8,0.5472924187725634,0.31331828442437937,0.2707070707070707,0.0,1.0,0.2727272727272727,0.6,False,70.98765432098763,5,28.0,72.0,18.0,10.0
WaterRights Trading,structured,Utility,Success,True,True,False,0,0,0.17999999999999994,0.6000000000000001,0.36330275229357833,0.2081871345029238,0.17877094972067042,0.0,1.0,0.34636871508379885,0.6,False,51.38888888888887,5,35.0,65.0,20.0,15.0
EducationCredit Token,structured,Utility,Success,True,True,False,0,0,0.276,0.5534246575342465,0.5157894736842106,0.3770114942528735,0.27831932773109247,0.0,1.0,0.2638655462184874,0.8,True,4.10958904109589,5,27.0,73.0,15.0,12.0
